Sample#,Experiment,Batch,GrowthConditions,Growthtime(hr),HarvestDate,Notes(NGS),Cell_total,cells_per_tube,#tubesinstorage
1,pilot_24_hour,001,base,24,11/13/12,JA13220,,,1
2,pilot_24_hour,002,base,24,11/13/12,JA13220,,,1
3,pilot_24_hour,003,base,24,11/15/12,JA13220,,,1
4,pilot_mid-log,004,base,4.5,11/28/12,JA13220,,,1
5,pilot_mid-log,005,base,4.5,11/28/12,JA13220,,,1
6,pilot_mid-log,006,base,4.5,11/29/12,JA13220,,,1
7,glucose_time_course,007t3,glucose,3,1/24/13,re-doneas97,1.50E+10,3.00E+09,1
8,glucose_time_course,007t4,glucose,4,1/24/13,re-doneas98,1.50E+10,3.00E+09,1
9,glucose_time_course,007t5,glucose,5,1/24/13,re-doneas99,2.48E+08,4.96E+07,1
10,glucose_time_course,007t6,glucose,6,1/24/13,re-doneas100,5.60E+08,1.12E+08,1
11,glucose_time_course,007t8,glucose,8,1/24/13,re-doneas101,8.12E+08,1.62E+08,1
12,glucose_time_course,007t24,glucose,24,1/25/13,re-doneas102,7.84E+08,1.57E+08,1
13,glucose_time_course,007t48,glucose,48,1/26/13,re-doneas103,7.20E+08,1.44E+08,1
14,glucose_time_course,007t1wk,glucose,168,1/31/13,re-doneas104,6.04E+08,1.21E+08,1
15,glucose_time_course,007t2wk,glucose,336,2/7/13,re-doneas105,5.80E+08,1.16E+08,1
16,glucose_time_course,008t3,glucose,3,2/13/13,JA13558,1.10E+10,2.20E+09,1
17,glucose_time_course,008t4,glucose,4,2/13/13,JA13558,1.38E+10,2.76E+09,1
18,glucose_time_course,008t5,glucose,5,2/13/13,JA13558,2.48E+08,4.96E+07,1
19,glucose_time_course,008t6,glucose,6,2/13/13,JA13558,5.80E+08,1.16E+08,1
20,glucose_time_course,008t8,glucose,8,2/13/13,JA13558,7.88E+08,1.58E+08,1
21,glucose_time_course,008t24,glucose,24,2/14/13,JA13558,7.76E+08,1.55E+08,1
22,glucose_time_course,008t48,glucose,48,2/15/13,JA13558,7.04E+08,1.41E+08,1
23,glucose_time_course,008t1wk,glucose,168,2/20/13,JA13558,6.16E+08,1.23E+08,1
24,glucose_time_course,008t2wk,glucose,336,2/27/13,JA13558,5.84E+08,1.17E+08,1
25,glucose_time_course,009t3,glucose,3,2/20/13,JA13618,1.40E+10,2.80E+09,2
26,glucose_time_course,009t4,glucose,4,2/20/13,JA13618,1.74E+10,3.48E+09,2
27,glucose_time_course,009t5,glucose,5,2/20/13,JA13618,2.44E+08,4.88E+07,2
28,glucose_time_course,009t6,glucose,6,2/20/13,JA13618,4.88E+08,9.76E+07,2
29,glucose_time_course,009t8,glucose,8,2/20/13,JA13618,7.92E+08,1.58E+08,2
30,glucose_time_course,009t24,glucose,24,2/21/13,JA13618,7.80E+08,1.56E+08,2
31,glucose_time_course,009t48,glucose,48,2/22/13,JA13618,6.96E+08,1.39E+08,2
32,glucose_time_course,009t1wk,glucose,168,2/27/13,JA13618,6.28E+08,1.26E+08,2
33,glucose_time_course,009t2wk,glucose,336,3/6/13,JA13618,5.72E+08,1.14E+08,2
34,glycerol_time_course,010t5,glycerol,5,7/17/13,JA14228,1.90E+08,1.90E+07,3
35,glycerol_time_course,010t7,glycerol,7,7/17/13,JA14228,2.40E+08,2.40E+07,3
36,glycerol_time_course,010t8,glycerol,8,7/17/13,JA14228,1.82E+08,1.82E+07,3
37,glycerol_time_course,010t10,glycerol,10,7/17/13,JA14228,1.87E+08,1.87E+07,3
38,glycerol_time_course,010t14,glycerol,14,7/17/13,JA14228,2.47E+08,2.47E+07,3
39,glycerol_time_course,010t24,glycerol,24,7/18/13,JA14228,2.20E+08,2.20E+07,3
40,glycerol_time_course,010t48,glycerol,48,7/19/13,JA14228,1.94E+08,1.94E+07,4
41,glycerol_time_course,010t1wk,glycerol,168,7/24/13,JA14228,1.68E+08,1.68E+07,4
42,glycerol_time_course,010t2wk,glycerol,336,7/31/13,JA14228,1.43E+08,1.43E+07,4
43,glycerol_time_course,011t5,glycerol,5,2013-08-06,SA14140,2.40E+08,2.40E+07,4
44,glycerol_time_course,011t7,glycerol,7,2013-08-06,SA14140,2.75E+08,2.75E+07,4
45,glycerol_time_course,011t8,glycerol,8,2013-08-06,SA14140,1.82E+08,1.82E+07,4
46,glycerol_time_course,011t10,glycerol,10,2013-08-06,SA14140,1.97E+08,1.97E+07,4
47,glycerol_time_course,011t14,glycerol,14,2013-08-06,SA14140,2.36E+08,2.36E+07,4
48,glycerol_time_course,011t24,glycerol,24,2013-08-07,SA14155,1.88E+08,1.88E+07,4
49,glycerol_time_course,011t48,glycerol,48,2013-08-08,SA14155,1.76E+08,1.76E+07,4
50,glycerol_time_course,011t1wk,glycerol,168,2013-08-13,SA14155,1.23E+08,1.23E+07,4
51,glycerol_time_course,011t2wk,glycerol,336,2013-08-20,JA14680,1.13E+08,1.13E+07,4
52,glycerol_time_course,012t5,glycerol,5,2013-08-14,SA14140,1.80E+08,1.80E+07,4
53,glycerol_time_course,012t7,glycerol,7,2013-08-14,SA14155,2.40E+08,2.40E+07,3
54,glycerol_time_course,012t8,glycerol,8,2013-08-14,SA14155,1.80E+08,1.80E+07,4
55,glycerol_time_course,012t10,glycerol,10,2013-08-14,JA14685,3.88E+08,3.88E+07,4
56,glycerol_time_course,012t14,glycerol,14,2013-08-14,SA14155,4.44E+08,4.44E+07,4
57,glycerol_time_course,012t24,glycerol,24,2013-08-15,SA14155,3.90E+08,3.90E+07,4
58,glycerol_time_course,012t48,glycerol,48,2013-08-16,SA14155,3.68E+08,3.68E+07,4
59,glycerol_time_course,012t1wk,glycerol,168,2013-08-21,JA14685,2.88E+08,2.88E+07,4
60,glycerol_time_course,012t2wk,glycerol,336,2013-08-28,JA14685,2.52E+08,2.52E+07,4
61,NaCl_stress,013E005,glucose+NaCl,5.5,2013-09-17,SA14155,1.1E+10,1.1E+09,4
62,NaCl_stress,013E100,glucose+NaCl,5.5,2013-09-17,JA14685,2.0E+10,2.0E+09,4
63,NaCl_stress,013E200,glucose+NaCl,6,2013-09-17,JA14685,9.3E+09,9.3E+08,4
64,NaCl_stress,013E300,glucose+NaCl,8,2013-09-17,JA14685,2.1E+10,2.1E+09,4
65,NaCl_stress,013S005,glucose+NaCl,28,2013-09-18,JA14685,6.9E+09,6.9E+08,4
66,NaCl_stress,013S100,glucose+NaCl,28,2013-09-18,JA14685,2.1E+10,2.1E+09,4
67,NaCl_stress,013S200,glucose+NaCl,28,2013-09-18,JA14685,1.0E+10,1.0E+09,4
68,NaCl_stress,013S300,glucose+NaCl,28,2013-11-18,SA14155,1.8E+10,1.8E+09,4
69,NaCl_stress,014E005,glucose+NaCl,6,2013-11-21,SA14155,4.2E+10,4.2E+09,4
70,NaCl_stress,014E100,glucose+NaCl,6.5,2013-11-21,SA14140,4.0E+10,4.0E+09,5
71,NaCl_stress,014E200,glucose+NaCl,8,2013-11-21,SA14155,4.3E+10,4.3E+09,5
72,NaCl_stress,014E300,glucose+NaCl,10,2013-11-21,SA14155,4.3E+10,4.3E+09,5
73,NaCl_stress,014S005,glucose+NaCl,29,2013-11-22,SA14155,4.3E+10,4.3E+09,5
74,NaCl_stress,014S100,glucose+NaCl,29,2013-11-22,SA14155,3.9E+10,3.9E+09,5
75,NaCl_stress,014S200,glucose+NaCl,29,2013-11-22,SA14155,4.2E+10,4.2E+09,5
76,NaCl_stress,014S300,glucose+NaCl,29,2013-11-22,SA14155,3.6E+10,3.6E+09,5
77,NaCl_stress,015E005,glucose+NaCl,5.5,2013-11-14,SA14155,3.6E+10,3.6E+09,5
78,NaCl_stress,015E100,glucose+NaCl,7.5,2013-11-14,JA14685,4.0E+10,4.0E+09,5
79,NaCl_stress,015E200,glucose+NaCl,8,2013-11-14,SA14140,3.9E+10,3.9E+09,5
80,NaCl_stress,015E300,glucose+NaCl,10,2013-11-14,SA14140,4.5E+10,4.5E+09,5
81,NaCl_stress,015S005,glucose+NaCl,29,2013-11-15,SA14140,4.1E+10,4.1E+09,5
82,NaCl_stress,015S100,glucose+NaCl,29,2013-11-15,SA14140,4.0E+10,4.0E+09,5
83,NaCl_stress,015S200,glucose+NaCl,29,2013-11-15,SA14140,3.5E+10,3.5E+09,5
84,NaCl_stress,015S300,glucose+NaCl,29,2013-11-15,SA14140,3.3E+10,3.3E+09,5
85,Lactate_growth,016E,lactate,9,2013-10-10,SA14140,6.4E+09,6.4E+08,5
86,Lactate_growth,016S,lactate,29,2013-10-11,SA14140,1.2E+10,1.2E+09,5
87,Lactate_growth,017E,lactate,8,2013-10-16,SA14140,4.6E+09,4.6E+08,5
88,Lactate_growth,017S,lactate,29,2013-10-17,SA14140,1.1E+10,1.1E+09,5
89,Lactate_growth,018E,lactate,9,2013-10-18,SA14140,,,5
90,Lactate_growth,018S,lactate,29,2013-10-19,SA14140,,,5
91,Gluconate_growth,019E,gluconate,6,2013-10-10,SA14140,9.0E+09,9.0E+08,5
92,Gluconate_growth,019S,gluconate,27,2013-10-11,SA14140,1.7E+10,1.7E+09,5
93,Gluconate_growth,020E,gluconate,5,2013-10-16,JA14688,8.8E+09,8.8E+08,5
94,Gluconate_growth,020S,gluconate,27,2013-10-17,SA14140,1.7E+10,1.7E+09,5
95,Gluconate_growth,021E,gluconate,6,2013-10-18,SA14140,,,5
96,Gluconate_growth,021S,gluconate,27,2013-10-19,SA14140,,,5
97,glucose_time_course,007R,glucose,3,2013-11-05,SA14140,2.1E+10,2.1E+09,5
98,glucose_time_course,007R,glucose,4,2013-11-05,SA14140,2.7E+10,2.7E+09,5
99,glucose_time_course,007R,glucose,5,2013-11-05,SA14140,2.7E+10,2.7E+09,5
100,glucose_time_course,007R,glucose,6,2013-11-05,SA14140,2.9E+10,2.9E+09,5
101,glucose_time_course,007R,glucose,8,2013-11-05,SA14140,3.9E+10,3.9E+09,5
102,glucose_time_course,007R,glucose,24,2013-11-06,SA14140,3.8E+10,3.8E+09,5
103,glucose_time_course,007R,glucose,48,2013-11-07,JA13648,3.4E+10,3.4E+09,5
104,glucose_time_course,007R,glucose,168,2013-11-12,JA13648,3.1E+10,3.1E+09,5
105,glucose_time_course,007R,glucose,336,2013-11-19,JA13648,3.0E+10,3.0E+09,5
106,MgSO4_stress,022E0.08,glucose+MgSO4,5.5,2013-12-11,JA14688,3.9E+10,3.9E+09,
107,MgSO4_stress,022E0.8,glucose+MgSO4,5.5,2013-12-11,SA14140,4.4E+10,4.4E+09,
108,MgSO4_stress,022E8,glucose+MgSO4,5.5,2013-12-11,SA14140,4.6E+10,4.6E+09,
109,MgSO4_stress,022E50,glucose+MgSO4,5,2013-12-11,SA14140,3.4E+10,3.4E+09,
110,MgSO4_stress,022E200,glucose+MgSO4,5,2013-12-11,SA14140,3.2E+10,3.2E+09,
111,MgSO4_stress,022E400,glucose+MgSO4,7,2013-12-11,SA14140,3.9E+10,3.9E+09,
112,MgSO4_stress,022S0.08,glucose+MgSO4,28,2013-12-12,SA14140,3.9E+10,3.9E+09,
113,MgSO4_stress,022S0.8,glucose+MgSO4,28,2013-12-12,SA14140,4.1E+10,4.1E+09,
114,MgSO4_stress,022S8,glucose+MgSO4,28,2013-12-12,SA14140,4.4E+10,4.4E+09,
115,MgSO4_stress,022S50,glucose+MgSO4,28,2013-12-12,SA14140,4.2E+10,4.2E+09,
116,MgSO4_stress,022S200,glucose+MgSO4,28,2013-12-12,SA14140,4.4E+10,4.4E+09,
117,MgSO4_stress,022S400,glucose+MgSO4,28,2013-12-12,SA14140,3.3E+10,3.3E+09,
118,MgSO4_stress,023E0.08,glucose+MgSO4,5.5,2014-01-15,SA14140,3.2E+10,3.2E+09,
119,MgSO4_stress,023E0.8,glucose+MgSO4,5.5,2014-01-15,SA14140,3.6E+10,3.6E+09,
120,MgSO4_stress,023E8,glucose+MgSO4,5.5,2014-01-15,SA14140,3.9E+10,3.9E+09,
121,MgSO4_stress,023E50,glucose+MgSO4,5,2014-01-15,SA14140,3.6E+10,3.6E+09,
122,MgSO4_stress,023E200,glucose+MgSO4,5,2014-01-15,SA14140,3.4E+10,3.4E+09,
123,MgSO4_stress,023E400,glucose+MgSO4,7,2014-01-15,SA14140,3.7E+10,3.7E+09,
124,MgSO4_stress,023S0.08,glucose+MgSO4,28,2014-01-16,JA14688,3.4E+10,3.4E+09,
125,MgSO4_stress,023S0.8,glucose+MgSO4,28,2014-01-16,JA14688,3.8E+10,3.8E+09,
126,MgSO4_stress,023S8,glucose+MgSO4,28,2014-01-16,JA14688,4.0E+10,4.0E+09,
127,MgSO4_stress,023S50,glucose+MgSO4,28,2014-01-16,SA14140,4.2E+10,4.2E+09,
128,MgSO4_stress,023S200,glucose+MgSO4,28,2014-01-16,SA14140,4.3E+10,4.3E+09,
129,MgSO4_stress,023S400,glucose+MgSO4,28,2014-01-16,SA14140,3.3E+10,3.3E+09,
130,MgSO4_stress,024E0.08,glucose+MgSO4,5.5,2014-01-30,SA14140,3.2E+10,3.2E+09,
131,MgSO4_stress,024E0.8,glucose+MgSO4,5.5,2014-01-30,SA14140,3.6E+10,3.6E+09,
132,MgSO4_stress,024E8,glucose+MgSO4,5.5,2014-01-30,SA14140,3.9E+10,3.9E+09,
133,MgSO4_stress,024E50,glucose+MgSO4,5,2014-01-30,SA14140,3.2E+10,3.2E+09,
134,MgSO4_stress,024E200,glucose+MgSO4,5,2014-01-30,,3.1E+10,3.1E+09,
135,MgSO4_stress,024E400,glucose+MgSO4,7,2014-01-30,,3.5E+10,3.5E+09,
136,MgSO4_stress,024S0.08,glucose+MgSO4,28,2014-01-31,,3.7E+10,3.7E+09,
137,MgSO4_stress,024S0.8,glucose+MgSO4,28,2014-01-31,,4.0E+10,4.0E+09,
138,MgSO4_stress,024S8,glucose+MgSO4,28,2014-01-31,,4.0E+10,4.0E+09,
139,MgSO4_stress,024S50,glucose+MgSO4,28,2014-01-31,,4.1E+10,4.1E+09,
140,MgSO4_stress,024S200,glucose+MgSO4,28,2014-01-31,SA14140,4.3E+10,4.3E+09,
141,MgSO4_stress,024S400,glucose+MgSO4,28,2014-01-31,SA14140,2.9E+10,2.9E+09,
142,MgSO4_stress,025E05,glucose+MgSO4,5,2014-06-17,,,,
143,MgSO4_stress,025E10,glucose+MgSO4,5.5,2014-06-17,,,,
144,MgSO4_stress,025E20,glucose+MgSO4,5.5,2014-06-17,,,,
145,MgSO4_stress,025E40,glucose+MgSO4,5.5,2014-06-17,,,,
146,MgSO4_stress,025E80,glucose+MgSO4,5.5,2014-06-17,,,,
147,MgSO4_stress,025S05,glucose+MgSO4,26,2014-06-18,SA14155,,,
148,MgSO4_stress,025S10,glucose+MgSO4,26,2014-06-18,,,,
149,MgSO4_stress,025S20,glucose+MgSO4,26,2014-06-18,SA14155,,,
150,MgSO4_stress,025S40,glucose+MgSO4,26,2014-06-18,SA14155,,,
151,MgSO4_stress,025S80,glucose+MgSO4,26,2014-06-18,SA14140,,,
152,MgSO4_stress,026E05,glucose+MgSO4,5,2014-06-24,SA14140,,,
153,MgSO4_stress,026E10,glucose+MgSO4,5.5,2014-06-24,,,,
154,MgSO4_stress,026E20,glucose+MgSO4,5.5,2014-06-24,,,,
155,MgSO4_stress,026E40,glucose+MgSO4,5.5,2014-06-24,,,,
156,MgSO4_stress,026E80,glucose+MgSO4,5.5,2014-06-24,,,,
157,MgSO4_stress,026S05,glucose+MgSO4,26,2014-06-25,,,,
158,MgSO4_stress,026S10,glucose+MgSO4,26,2014-06-25,,,,
159,MgSO4_stress,026S20,glucose+MgSO4,26,2014-06-25,,,,
160,MgSO4_stress,026S40,glucose+MgSO4,26,2014-06-25,,,,
161,MgSO4_stress,026S80,glucose+MgSO4,26,2014-06-25,,,,
162,MgSO4_stress,027S05,glucose+MgSO4,5,2014-06-28,,,,
163,MgSO4_stress,027S10,glucose+MgSO4,5.5,2014-06-28,,,,
164,MgSO4_stress,027S20,glucose+MgSO4,5.5,2014-06-28,,,,
165,MgSO4_stress,027S40,glucose+MgSO4,5.5,2014-06-28,,,,
166,MgSO4_stress,027S80,glucose+MgSO4,5.5,2014-06-28,,,,
167,MgSO4_stress,027S05,glucose+MgSO4,26,2014-06-29,,,,
168,MgSO4_stress,027S10,glucose+MgSO4,26,2014-06-29,,,,
169,MgSO4_stress,027S20,glucose+MgSO4,26,2014-06-29,,,,
170,MgSO4_stress,027S40,glucose+MgSO4,26,2014-06-29,,,,
171,MgSO4_stress,027S80,glucose+MgSO4,26,2014-06-29,,,,

