"","rowname","short","md5sum","MURI","L","R","MURI_num"
"1","237","MURI_16_SA13172_AGTTCC_L007_R1_001.fastq.gz","7a080b479d581024fabfa67f65fc4212","MURI_16 ","L007","R1",16
"2","238","MURI_16_SA13172_AGTTCC_L007_R2_001.fastq.gz","45b8bbbf4b57d0d3992dc9d0015249f5","MURI_16 ","L007","R2",16
"3","251","MURI_17_SA13172_ATGTCA_L007_R1_001.fastq.gz","d09d3713103eb70e1b0e424a3783c4f5","MURI_17 ","L007","R1",17
"4","252","MURI_17_SA13172_ATGTCA_L007_R2_001.fastq.gz","e33ff805d1e534663e850b83a5a2d2c1","MURI_17 ","L007","R2",17
"5","253","MURI_18_SA13172_CCGTCC_L007_R1_001.fastq.gz","20bbfec81042c6108f61a251d83bddae","MURI_18 ","L007","R1",18
"6","255","MURI_18_SA14008_CCGTCC_L007_R1_001.fastq.gz","f1c955794d9e610d3d8e14a6bdc17807","MURI_18 ","L007","R1",18
"7","257","MURI_18_SA14008_CCGTCC_L008_R1_001.fastq.gz","4468ef42cd66a36402d60545690a11cf","MURI_18 ","L008","R1",18
"8","254","MURI_18_SA13172_CCGTCC_L007_R2_001.fastq.gz","dee82bf7decab4c13a5fdff1fd4eb563","MURI_18 ","L007","R2",18
"9","256","MURI_18_SA14008_CCGTCC_L007_R2_001.fastq.gz","6b5aa70e366c963ced36474a11327279","MURI_18 ","L007","R2",18
"10","258","MURI_18_SA14008_CCGTCC_L008_R2_001.fastq.gz","af8ae9a5e542f6753b8073d9a6f8fbb4","MURI_18 ","L008","R2",18
"11","259","MURI_19_SA13172_GTCCGC_L007_R1_001.fastq.gz","19469092df938804eb04007b02ffc85f","MURI_19 ","L007","R1",19
"12","260","MURI_19_SA13172_GTCCGC_L007_R2_001.fastq.gz","5a57cb3a72053e8f67f971e1448b5885","MURI_19 ","L007","R2",19
"13","261","MURI_20_SA13172_GTGAAA_L007_R1_001.fastq.gz","ee9327c5474822db213f96ed05d636cb","MURI_20 ","L007","R1",20
"14","262","MURI_20_SA13172_GTGAAA_L007_R2_001.fastq.gz","10e460ca1182165898b85dff5dc75cfc","MURI_20 ","L007","R2",20
"15","263","MURI_21_SA13172_GTGGCC_L007_R1_001.fastq.gz","a88a495a1435f73c4f2d76177ce4d371","MURI_21 ","L007","R1",21
"16","264","MURI_21_SA13172_GTGGCC_L007_R2_001.fastq.gz","009658ea8da601f4c7907ab51f77148b","MURI_21 ","L007","R2",21
"17","267","MURI_22_SA15008_GTTTCG_L001_R1_001.fastq.gz","dd04caf40f417b55b6b69accbf5c9023","MURI_22 ","L001","R1",22
"18","265","MURI_22_SA13172_GTTTCG_L007_R1_001.fastq.gz","cbe535263c01f0190864d1dc3e94132b","MURI_22 ","L007","R1",22
"19","268","MURI_22_SA15008_GTTTCG_L001_R2_001.fastq.gz","5d8ff3a0df8af1ba01f12ff9de4647bf","MURI_22 ","L001","R2",22
"20","266","MURI_22_SA13172_GTTTCG_L007_R2_001.fastq.gz","36e6318c36a1a918b9d9f4f48dd965e4","MURI_22 ","L007","R2",22
"21","269","MURI_23_SA13172_CGTACG_L007_R1_001.fastq.gz","f74e99694e89a7a362a7d4481eaa2cb3","MURI_23 ","L007","R1",23
"22","271","MURI_23_SA14008_CGTACG_L007_R1_001.fastq.gz","39abd302e363a98bf3e3c5e855ce3bd2","MURI_23 ","L007","R1",23
"23","273","MURI_23_SA14008_CGTACG_L008_R1_001.fastq.gz","f8487c58819e532ed90a9ec0cd92368d","MURI_23 ","L008","R1",23
"24","270","MURI_23_SA13172_CGTACG_L007_R2_001.fastq.gz","6ce28b94a22764fc9d3cd605d7023ab1","MURI_23 ","L007","R2",23
"25","272","MURI_23_SA14008_CGTACG_L007_R2_001.fastq.gz","ee82f8b34c81778b6eb5385d1e8cb1cb","MURI_23 ","L007","R2",23
"26","274","MURI_23_SA14008_CGTACG_L008_R2_001.fastq.gz","f89c8952e132fc3f287df8e891df679a","MURI_23 ","L008","R2",23
"27","275","MURI_24_SA13172_GAGTGG_L007_R1_001.fastq.gz","f5c9d25ade149b366b0eb0853e62c4cc","MURI_24 ","L007","R1",24
"28","277","MURI_24_SA14008_GAGTGG_L007_R1_001.fastq.gz","550955f8261208d7af795a5abe8baa64","MURI_24 ","L007","R1",24
"29","279","MURI_24_SA14008_GAGTGG_L008_R1_001.fastq.gz","d69cd3e9f1baa95560563cc5727bd2d6","MURI_24 ","L008","R1",24
"30","276","MURI_24_SA13172_GAGTGG_L007_R2_001.fastq.gz","3ab9c2524b9e81eff77c8aca9374566f","MURI_24 ","L007","R2",24
"31","278","MURI_24_SA14008_GAGTGG_L007_R2_001.fastq.gz","44e246b5049c43ec27d26ea10882aaaa","MURI_24 ","L007","R2",24
"32","280","MURI_24_SA14008_GAGTGG_L008_R2_001.fastq.gz","2860bfbf0c79b3641c56778c5e77e84e","MURI_24 ","L008","R2",24
"33","281","MURI_25_SA14027_ATCACG_L006_R1_001.fastq.gz","fb095b23b7b06ffd9a6602dd53bfadf9","MURI_25 ","L006","R1",25
"34","282","MURI_25_SA14027_ATCACG_L006_R2_001.fastq.gz","36a6562e69d4b4fc7ae5a8c196f38938","MURI_25 ","L006","R2",25
"35","283","MURI_26_SA14027_TTAGGC_L006_R1_001.fastq.gz","ba91bf3e85ca471d4f3b2123e8f545ee","MURI_26 ","L006","R1",26
"36","284","MURI_26_SA14027_TTAGGC_L006_R2_001.fastq.gz","cfd7a7b0df34dba05a8ea9d505e48a2e","MURI_26 ","L006","R2",26
"37","285","MURI_27_SA14027_TGACCA_L006_R1_001.fastq.gz","c178ec005e9f797bcae0d22169db025c","MURI_27 ","L006","R1",27
"38","286","MURI_27_SA14027_TGACCA_L006_R2_001.fastq.gz","9ab50d520623408bc38c06cf957f98d5","MURI_27 ","L006","R2",27
"39","287","MURI_28_SA14027_ACAGTG_L006_R1_001.fastq.gz","17fc0b51426dbcc0fc4f895fe51c6f4e","MURI_28 ","L006","R1",28
"40","288","MURI_28_SA14027_ACAGTG_L006_R2_001.fastq.gz","4e65384bee14e8b1e4e94289ae6b6f2b","MURI_28 ","L006","R2",28
"41","289","MURI_29_SA14027_GCCAAT_L006_R1_001.fastq.gz","42e0a188ab56f577b50e000255472190","MURI_29 ","L006","R1",29
"42","290","MURI_29_SA14027_GCCAAT_L006_R2_001.fastq.gz","2b388c877d0dc6af8dbeb4c97a73a493","MURI_29 ","L006","R2",29
"43","291","MURI_30_SA14027_CAGATC_L006_R1_001.fastq.gz","2b4582816cbb44a9f514320515e45e1d","MURI_30 ","L006","R1",30
"44","292","MURI_30_SA14027_CAGATC_L006_R2_001.fastq.gz","f95a0b31d1fdb163c0d11dca2bedb8e0","MURI_30 ","L006","R2",30
"45","295","MURI_31_SA14043_ACTTGA_L001_R1_001.fastq.gz","284250ea50194cde854153f7b43c17ba","MURI_31 ","L001","R1",31
"46","293","MURI_31_SA14027_ACTTGA_L006_R1_001.fastq.gz","3d289595b7a5911da9e9103679ecc9e9","MURI_31 ","L006","R1",31
"47","296","MURI_31_SA14043_ACTTGA_L001_R2_001.fastq.gz","4bfdf6bbb1903f167e41bd5945cfda21","MURI_31 ","L001","R2",31
"48","294","MURI_31_SA14027_ACTTGA_L006_R2_001.fastq.gz","1a4bad6b454a10b52efd191cc28a6505","MURI_31 ","L006","R2",31
"49","297","MURI_32_SA14027_GATCAG_L006_R1_001.fastq.gz","725e9017f455d1916a77957db3c2d92a","MURI_32 ","L006","R1",32
"50","298","MURI_32_SA14027_GATCAG_L006_R2_001.fastq.gz","6da7aaa4a6a548f8b4201c375c2ac6ea","MURI_32 ","L006","R2",32
"51","299","MURI_33_SA14027_TAGCTT_L006_R1_001.fastq.gz","27138ee2d494bde89c8fabc9ef119f90","MURI_33 ","L006","R1",33
"52","300","MURI_33_SA14027_TAGCTT_L006_R2_001.fastq.gz","5019d12d843663cf50f6023f53cbc35f","MURI_33 ","L006","R2",33
"53","301","MURI_34_SA14043_AGTCAA_L002_R1_001.fastq.gz","08a1502f79b12ac54610495115832e30","MURI_34 ","L002","R1",34
"54","303","MURI_34_SA14043_AGTCAA_L003_R1_001.fastq.gz","81764ee50f5ae64a9e90898fecb08000","MURI_34 ","L003","R1",34
"55","302","MURI_34_SA14043_AGTCAA_L002_R2_001.fastq.gz","5fec3cbd7f3fc883fad44c21fae90894","MURI_34 ","L002","R2",34
"56","304","MURI_34_SA14043_AGTCAA_L003_R2_001.fastq.gz","5bd2f3a0ed6fbb0e6f2bd269e68b6901","MURI_34 ","L003","R2",34
"57","305","MURI_35_SA14043_AGTTCC_L002_R1_001.fastq.gz","e9185d5a197d12b69094f6b0b3874baa","MURI_35 ","L002","R1",35
"58","307","MURI_35_SA14043_AGTTCC_L003_R1_001.fastq.gz","58672be0d4eb37d52c4257e8b148b700","MURI_35 ","L003","R1",35
"59","306","MURI_35_SA14043_AGTTCC_L002_R2_001.fastq.gz","db70ec66708efebd6d557cbee45278e9","MURI_35 ","L002","R2",35
"60","308","MURI_35_SA14043_AGTTCC_L003_R2_001.fastq.gz","f5cd499445709e3ab6450195bd42e4ac","MURI_35 ","L003","R2",35
"61","309","MURI_36_SA14043_ATGTCA_L002_R1_001.fastq.gz","49a975d8bdef5ff2fab35dded7d0c8fb","MURI_36 ","L002","R1",36
"62","311","MURI_36_SA14043_ATGTCA_L003_R1_001.fastq.gz","487d677fb6301df166e4f4ee93a0e3e4","MURI_36 ","L003","R1",36
"63","310","MURI_36_SA14043_ATGTCA_L002_R2_001.fastq.gz","879fbeb5d66aeca492ba3e45256e38b1","MURI_36 ","L002","R2",36
"64","312","MURI_36_SA14043_ATGTCA_L003_R2_001.fastq.gz","f0c8224faf1b0aa0a98c8b9d00c09bf6","MURI_36 ","L003","R2",36
"65","313","MURI_37_SA14043_CCGTCC_L002_R1_001.fastq.gz","d4af02ead709eaef8e8047ec4dcbba00","MURI_37 ","L002","R1",37
"66","315","MURI_37_SA14043_CCGTCC_L003_R1_001.fastq.gz","cf3b50c96466277ae165f3458d25e28c","MURI_37 ","L003","R1",37
"67","314","MURI_37_SA14043_CCGTCC_L002_R2_001.fastq.gz","03c6885a333d2e4b09bcea3cf7b0421e","MURI_37 ","L002","R2",37
"68","316","MURI_37_SA14043_CCGTCC_L003_R2_001.fastq.gz","87577a6260c6a4554cc98ffe20515bd7","MURI_37 ","L003","R2",37
"69","317","MURI_38_SA14043_GTCCGC_L002_R1_001.fastq.gz","b647e4436262f7bf4b48877514cbaaa7","MURI_38 ","L002","R1",38
"70","319","MURI_38_SA14043_GTCCGC_L003_R1_001.fastq.gz","c8647c18c8ac3e6739258a35db4ace1d","MURI_38 ","L003","R1",38
"71","318","MURI_38_SA14043_GTCCGC_L002_R2_001.fastq.gz","38eeb34af33954c32d4c0681f7c7cc2d","MURI_38 ","L002","R2",38
"72","320","MURI_38_SA14043_GTCCGC_L003_R2_001.fastq.gz","d49e184003c329574cb6e683bc633bb5","MURI_38 ","L003","R2",38
"73","321","MURI_39_SA14043_GTGAAA_L002_R1_001.fastq.gz","fe198a21ffef8311d4979e1aa78cfb45","MURI_39 ","L002","R1",39
"74","323","MURI_39_SA14043_GTGAAA_L003_R1_001.fastq.gz","9860a69b4f422922d04c5b31e85fc100","MURI_39 ","L003","R1",39
"75","322","MURI_39_SA14043_GTGAAA_L002_R2_001.fastq.gz","8ee41a7cab4867ae2f201a448349df34","MURI_39 ","L002","R2",39
"76","324","MURI_39_SA14043_GTGAAA_L003_R2_001.fastq.gz","c1af3e57a81f60f3697c1cf46ca2be87","MURI_39 ","L003","R2",39
"77","325","MURI_40_SA14043_GTGGCC_L002_R1_001.fastq.gz","e6e1024d7341ef6545c057536f5be886","MURI_40 ","L002","R1",40
"78","327","MURI_40_SA14043_GTGGCC_L003_R1_001.fastq.gz","64f3fe339215f0cd1508fa24af989a9c","MURI_40 ","L003","R1",40
"79","326","MURI_40_SA14043_GTGGCC_L002_R2_001.fastq.gz","f9aea0507518e0aebb30002890f6dee6","MURI_40 ","L002","R2",40
"80","328","MURI_40_SA14043_GTGGCC_L003_R2_001.fastq.gz","554473bb775b52ab7e183ba186193ff6","MURI_40 ","L003","R2",40
"81","329","MURI_41_SA14043_ATTCCT_L002_R1_001.fastq.gz","3bce0cc5a05735bac88c8484ecd763fb","MURI_41 ","L002","R1",41
"82","331","MURI_41_SA14043_ATTCCT_L003_R1_001.fastq.gz","2fd98b3167d6b024a232878be5f8f3c6","MURI_41 ","L003","R1",41
"83","330","MURI_41_SA14043_ATTCCT_L002_R2_001.fastq.gz","3e6e3b937a3939a2c880a93ebb8c3bf7","MURI_41 ","L002","R2",41
"84","332","MURI_41_SA14043_ATTCCT_L003_R2_001.fastq.gz","527e0bdcbf69adc12bfa973438c55942","MURI_41 ","L003","R2",41
"85","333","MURI_42_SA14043_GAGTGG_L002_R1_001.fastq.gz","9b729d4c27502f4746b92dfd090bb431","MURI_42 ","L002","R1",42
"86","335","MURI_42_SA14043_GAGTGG_L003_R1_001.fastq.gz","e2a0b2f470a660ffb1d063904cb738c3","MURI_42 ","L003","R1",42
"87","334","MURI_42_SA14043_GAGTGG_L002_R2_001.fastq.gz","e9f42456572c6f4a2463d2c623bbbcd7","MURI_42 ","L002","R2",42
"88","336","MURI_42_SA14043_GAGTGG_L003_R2_001.fastq.gz","73ab049e9252bbe2e4e35b7174a696a7","MURI_42 ","L003","R2",42
"89","337","MURI_43_SA14140_GGCTAC_L004_R1_001.fastq.gz","25c4ac595215edee2de563bc96e29af3","MURI_43 ","L004","R1",43
"90","338","MURI_43_SA14140_GGCTAC_L004_R2_001.fastq.gz","b527abe2140238149ce81be39f4d1c29","MURI_43 ","L004","R2",43
"91","339","MURI_44_SA14140_CTTGTA_L004_R1_001.fastq.gz","3cfff02bcf5271363f14dfa776304c5e","MURI_44 ","L004","R1",44
"92","340","MURI_44_SA14140_CTTGTA_L004_R2_001.fastq.gz","215e7deb64796788b02a3c1d4fd93bd0","MURI_44 ","L004","R2",44
"93","341","MURI_45_SA14140_AGTCAA_L004_R1_001.fastq.gz","4fd309eeb9db7c9ce944a35414f824dc","MURI_45 ","L004","R1",45
"94","342","MURI_45_SA14140_AGTCAA_L004_R2_001.fastq.gz","170a65eae8fc8a72693ba7c207f28381","MURI_45 ","L004","R2",45
"95","343","MURI_46_SA14140_AGTTCC_L004_R1_001.fastq.gz","b7d41cd94fd6c865f00e7b7582e75072","MURI_46 ","L004","R1",46
"96","344","MURI_46_SA14140_AGTTCC_L004_R2_001.fastq.gz","742393e313072bcedddc80eaa7dd6c95","MURI_46 ","L004","R2",46
"97","347","MURI_47_SA15008_ATGTCA_L001_R1_001.fastq.gz","9146a69ebe457ebee4af72dfe79dab0f","MURI_47 ","L001","R1",47
"98","345","MURI_47_SA14140_ATGTCA_L004_R1_001.fastq.gz","55b4b8d1f822bc915e87fb5c4429596e","MURI_47 ","L004","R1",47
"99","348","MURI_47_SA15008_ATGTCA_L001_R2_001.fastq.gz","535e35ed1a0f1875967d3894c9d0318b","MURI_47 ","L001","R2",47
"100","346","MURI_47_SA14140_ATGTCA_L004_R2_001.fastq.gz","87410e185268d0d96311b5f53b510a94","MURI_47 ","L004","R2",47
"101","351","MURI_48_SA15008_CCGTCC_L001_R1_001.fastq.gz","721dabc27aa388faceeb68074f2817f5","MURI_48 ","L001","R1",48
"102","349","MURI_48_SA14155_CCGTCC_L008_R1_001.fastq.gz","83e98c4c03249c15671a335fd6c8f028","MURI_48 ","L008","R1",48
"103","352","MURI_48_SA15008_CCGTCC_L001_R2_001.fastq.gz","0dfa8c4837a8ed2185d7255982ff12ca","MURI_48 ","L001","R2",48
"104","350","MURI_48_SA14155_CCGTCC_L008_R2_001.fastq.gz","7a56379c22934acc18b68140cdffaf07","MURI_48 ","L008","R2",48
"105","353","MURI_49_SA14155_GTGGCC_L008_R1_001.fastq.gz","e55441be553f0d28147955ac5f0bc5a4","MURI_49 ","L008","R1",49
"106","354","MURI_49_SA14155_GTGGCC_L008_R2_001.fastq.gz","22b001895ea503c680496ab5af762cb3","MURI_49 ","L008","R2",49
"107","355","MURI_50_SA14155_GTCCGC_L008_R1_001.fastq.gz","cddd8ae207f943c31c8db00f15c9c026","MURI_50 ","L008","R1",50
"108","356","MURI_50_SA14155_GTCCGC_L008_R2_001.fastq.gz","df3b5895e52503f1fb76c3f8aea4d6cd","MURI_50 ","L008","R2",50
"109","357","MURI_52_SA14140_GTGGCC_L002_R1_001.fastq.gz","e6df24dcd1d74b17f4e02d3c080c0b0b","MURI_52 ","L002","R1",52
"110","358","MURI_52_SA14140_GTGGCC_L002_R2_001.fastq.gz","58b282fb8046daf70d9b70046380446c","MURI_52 ","L002","R2",52
"111","359","MURI_53_SA14155_ACTGAT_L008_R1_001.fastq.gz","0c88db89b69d83108835bd024aeb243a","MURI_53 ","L008","R1",53
"112","360","MURI_53_SA14155_ACTGAT_L008_R2_001.fastq.gz","def5afdd3e1a7d92951f30c6e8df7d3c","MURI_53 ","L008","R2",53
"113","361","MURI_54_SA14155_ATTCCT_L008_R1_001.fastq.gz","efe6339df095f3fd66187f6acf649977","MURI_54 ","L008","R1",54
"114","362","MURI_54_SA14155_ATTCCT_L008_R2_001.fastq.gz","08cf85a325a86358655175324c2ca716","MURI_54 ","L008","R2",54
"115","363","MURI_55_SA14200_ATCACG_L007_R1_001.fastq.gz","4581073bce276a9972a19b83bff840f9","MURI_55 ","L007","R1",55
"116","365","MURI_55_SA14200_ATCACG_L008_R1_001.fastq.gz","ba2d158c28816b3a936afaecf432a688","MURI_55 ","L008","R1",55
"117","364","MURI_55_SA14200_ATCACG_L007_R2_001.fastq.gz","a68cbce35f2e5dc14fe7de7275bfd4c9","MURI_55 ","L007","R2",55
"118","366","MURI_55_SA14200_ATCACG_L008_R2_001.fastq.gz","0a437b3635d372c9d4fd200ba46ea095","MURI_55 ","L008","R2",55
"119","367","MURI_56_SA14155_TTAGGC_L008_R1_001.fastq.gz","10f1633722bb6ccc800d2c701afdfbe4","MURI_56 ","L008","R1",56
"120","368","MURI_56_SA14155_TTAGGC_L008_R2_001.fastq.gz","c8929f37174abe47fe520dad89395e82","MURI_56 ","L008","R2",56
"121","369","MURI_57_SA14155_TGACCA_L008_R1_001.fastq.gz","b44e01656de0123a0c8914e40014f838","MURI_57 ","L008","R1",57
"122","370","MURI_57_SA14155_TGACCA_L008_R2_001.fastq.gz","d1b81ea0020ba2a66cb6c05b35443859","MURI_57 ","L008","R2",57
"123","373","MURI_58_SA15008_ACAGTG_L001_R1_001.fastq.gz","a2d6ad94c5b26e6449856f03e98ff1bc","MURI_58 ","L001","R1",58
"124","371","MURI_58_SA14155_ACAGTG_L008_R1_001.fastq.gz","bfc14bf7baabd47d2298aff1ac466041","MURI_58 ","L008","R1",58
"125","374","MURI_58_SA15008_ACAGTG_L001_R2_001.fastq.gz","c0ed7ee067d1014d03084a993fee5a85","MURI_58 ","L001","R2",58
"126","372","MURI_58_SA14155_ACAGTG_L008_R2_001.fastq.gz","f55c92395083a21c0b641a7a46452f60","MURI_58 ","L008","R2",58
"127","375","MURI_59_SA15156_CCGTCC_L004_R1_001.fastq.gz","bafe0e07f1c6f6f5ccbe96ea5c61e379","MURI_59 ","L004","R1",59
"128","376","MURI_59_SA15156_CCGTCC_L004_R2_001.fastq.gz","140a6e5e1c8bafe6d0036aea56513344","MURI_59 ","L004","R2",59
"129","377","MURI_61_SA14155_ACTTGA_L008_R1_001.fastq.gz","3d432a0435ec53815f1929039495583f","MURI_61 ","L008","R1",61
"130","378","MURI_61_SA14155_ACTTGA_L008_R2_001.fastq.gz","d8c72cb6d7787cb28f733920282c14b0","MURI_61 ","L008","R2",61
"131","379","MURI_63_SA15156_GTGAAA_L004_R1_001.fastq.gz","fdae87602131d5b0aebba7ebb66e1fa8","MURI_63 ","L004","R1",63
"132","380","MURI_63_SA15156_GTGAAA_L004_R2_001.fastq.gz","f615bff92df158cb175a4935dbf3df41","MURI_63 ","L004","R2",63
"133","381","MURI_64_SA14141_ATCACG_L003_R1_001.fastq.gz","887a207542c78dddf1e80bb605c1fe2d","MURI_64 ","L003","R1",64
"134","382","MURI_64_SA14141_ATCACG_L003_R2_001.fastq.gz","5ed6055bf82e24ba88c398ff8455e7a2","MURI_64 ","L003","R2",64
"135","385","MURI_65_SA15008_TTAGGC_L001_R1_001.fastq.gz","c6c904ba62e747125a16e5501db6f276","MURI_65 ","L001","R1",65
"136","383","MURI_65_SA14141_TTAGGC_L003_R1_001.fastq.gz","457a6b2a689ab5537d723365791bc922","MURI_65 ","L003","R1",65
"137","386","MURI_65_SA15008_TTAGGC_L001_R2_001.fastq.gz","e9da671567546725bdd1522be368337a","MURI_65 ","L001","R2",65
"138","384","MURI_65_SA14141_TTAGGC_L003_R2_001.fastq.gz","cb5d7b9a7afeb07c86c84f78ad1bac0d","MURI_65 ","L003","R2",65
"139","389","MURI_66_SA15008_TGACCA_L001_R1_001.fastq.gz","09a00ca0c4ff7dcced7d2ce5be8b1952","MURI_66 ","L001","R1",66
"140","387","MURI_66_SA14141_TGACCA_L003_R1_001.fastq.gz","a1484cac17cdc09e4fbc8b36cddcd0c1","MURI_66 ","L003","R1",66
"141","390","MURI_66_SA15008_TGACCA_L001_R2_001.fastq.gz","7f5a74402306c3e378858bafdbb787ea","MURI_66 ","L001","R2",66
"142","388","MURI_66_SA14141_TGACCA_L003_R2_001.fastq.gz","9d40b5e3a2e34aba00b78e0aada2dc62","MURI_66 ","L003","R2",66
"143","391","MURI_67_SA14141_ACAGTG_L003_R1_001.fastq.gz","2b85d827289dfd67d9e9a5e258b8943c","MURI_67 ","L003","R1",67
"144","393","MURI_67_SA15156_GTGGCC_L004_R1_001.fastq.gz","f48f06adaa51faca9424dd2b30420941","MURI_67 ","L004","R1",67
"145","392","MURI_67_SA14141_ACAGTG_L003_R2_001.fastq.gz","7333e29fbd56373d945152807fabd720","MURI_67 ","L003","R2",67
"146","394","MURI_67_SA15156_GTGGCC_L004_R2_001.fastq.gz","5962d67d62e8eaa7d51102ee5b951bda","MURI_67 ","L004","R2",67
"147","397","MURI_68_SA15008_GCCAAT_L001_R1_001.fastq.gz","b1f0d867a698a117c75f0ec0ff2bc628","MURI_68 ","L001","R1",68
"148","395","MURI_68_SA14155_GCCAAT_L008_R1_001.fastq.gz","030fa5ae7aa620675484aca34ca1fbcc","MURI_68 ","L008","R1",68
"149","398","MURI_68_SA15008_GCCAAT_L001_R2_001.fastq.gz","56b61c306916884447a7354421a68039","MURI_68 ","L001","R2",68
"150","396","MURI_68_SA14155_GCCAAT_L008_R2_001.fastq.gz","d071505b2fc3909586ce57f6fcc80082","MURI_68 ","L008","R2",68
"151","399","MURI_69_SA14155_CAGATC_L008_R1_001.fastq.gz","fbbc2eecad585791e0e910b34b658240","MURI_69 ","L008","R1",69
"152","400","MURI_69_SA14155_CAGATC_L008_R2_001.fastq.gz","62c7a069bebeff2bb3c48584cb950e4c","MURI_69 ","L008","R2",69
"153","401","MURI_70_SA14140_ACTTGA_L002_R1_001.fastq.gz","19ba08b06aabbb18225a7788a5f9af53","MURI_70 ","L002","R1",70
"154","403","MURI_70_SA14141_ACTTGA_L004_R1_001.fastq.gz","59caa08ac87bb0b2a1aa3cb980af3fd4","MURI_70 ","L004","R1",70
"155","402","MURI_70_SA14140_ACTTGA_L002_R2_001.fastq.gz","ac64f41fd80bdffa91986c84426c56b7","MURI_70 ","L002","R2",70
"156","404","MURI_70_SA14141_ACTTGA_L004_R2_001.fastq.gz","dc3b31d030b160c455f6411704376e54","MURI_70 ","L004","R2",70
"157","405","MURI_71_SA14155_GATCAG_L008_R1_001.fastq.gz","27cac82dc78d666483eea1ec0b91d553","MURI_71 ","L008","R1",71
"158","406","MURI_71_SA14155_GATCAG_L008_R2_001.fastq.gz","ebb99a8caa15b5359c3f200914228b1c","MURI_71 ","L008","R2",71
"159","407","MURI_72_SA14155_TAGCTT_L008_R1_001.fastq.gz","3d57337f7cb4c08f337a5b0ca0a3bc2c","MURI_72 ","L008","R1",72
"160","408","MURI_72_SA14155_TAGCTT_L008_R2_001.fastq.gz","9442fadb1c7f8b674b40d29fb276c323","MURI_72 ","L008","R2",72
"161","411","MURI_73_SA15008_GGCTAC_L001_R1_001.fastq.gz","1ce5ccb6e3f7f9946a0c17d6ff2f016f","MURI_73 ","L001","R1",73
"162","409","MURI_73_SA14155_GGCTAC_L008_R1_001.fastq.gz","ae24805fab2f930fd48dbe11f316907a","MURI_73 ","L008","R1",73
"163","412","MURI_73_SA15008_GGCTAC_L001_R2_001.fastq.gz","bdd46a40b70a06e11ed4c3be543eaa6d","MURI_73 ","L001","R2",73
"164","410","MURI_73_SA14155_GGCTAC_L008_R2_001.fastq.gz","06cacd8704bdaa0050bbe2edfa977213","MURI_73 ","L008","R2",73
