name,replicate,doubling.time.minutes,doubling.time.minutes.95m,doubling.time.minutes.95p,r.squared
Gluconate.tab,1,60.42473355,52.37822925,71.39222644,0.997456894
Gluconate.tab,2,63.14600872,52.01126823,80.34694185,0.995073055
Glucose.tab,1,54.65716691,40.93857995,82.20379772,0.988014015
Glucose.tab,2,47.64904849,40.95851674,56.95211873,0.997125647
Glucose.tab,3,57.45528482,55.08476478,60.03900586,0.99979997
Glycerol.tab,1,80.95212424,38.94241445,-1027.769034,0.992843467
Glycerol.tab,2,94.51236702,57.80298158,258.9931359,0.997508055
Glycerol.tab,3,78.48450254,43.12509451,435.8470555,0.995853196
Lactate.tab,1,89.95541966,77.88718164,106.4492033,0.987695593
Lactate.tab,2,105.3583865,84.77710765,139.136443,0.957308014
MgSO4_000.080_mM.tab,1,57.97606601,52.4871484,64.74708365,0.994357238
MgSO4_000.080_mM.tab,2,59.14029944,49.5354806,73.36575519,0.988986257
MgSO4_000.080_mM.tab,3,63.93911028,58.6660015,70.25376879,0.995825298
MgSO4_000.800_mM.tab,1,58.0345128,52.3097149,65.166346,0.996464778
MgSO4_000.800_mM.tab,2,59.95780211,52.12048445,70.56924603,0.993346992
MgSO4_000.800_mM.tab,3,67.74958297,58.43417121,80.59834521,0.986984452
MgSO4_008.000_mM.tab,1,55.4834508,54.07851646,56.96333127,0.9996499
MgSO4_008.000_mM.tab,2,60.92792113,52.05046359,73.45623645,0.991457184
MgSO4_008.000_mM.tab,3,66.89730426,59.89028097,75.76118652,0.992947187
MgSO4_050.000_mM.tab,1,52.78629985,46.86950661,60.41279383,0.995301645
MgSO4_050.000_mM.tab,2,58.65645281,47.07231996,77.80322242,0.993499884
MgSO4_050.000_mM.tab,3,57.54335579,45.43898479,78.43833696,0.979413042
MgSO4_200.000_mM.tab,1,49.39744166,43.76234279,56.69824389,0.995112652
MgSO4_200.000_mM.tab,2,57.65745884,47.4389058,73.48685749,0.995012357
MgSO4_200.000_mM.tab,3,57.11174186,50.12631903,66.35933984,0.994280451
MgSO4_400.000_mM.tab,1,75.61999564,73.09790775,78.32234149,0.999100033
MgSO4_400.000_mM.tab,2,90.00843298,76.84369401,108.6164256,0.9782742
MgSO4_400.000_mM.tab,3,84.34788711,75.03636978,96.2978084,0.984802883
MgSO4-2_000.005_mM.tab,1,70.26709945,64.51216767,77.14935586,0.995887658
MgSO4-2_000.005_mM.tab,2,67.1118943,61.42870026,73.9538793,0.995578196
MgSO4-2_000.005_mM.tab,3,69.04569434,62.67600001,76.85654184,0.994669167
MgSO4-2_000.010_mM.tab,1,67.7891542,59.45006645,78.84939448,0.989893456
MgSO4-2_000.010_mM.tab,2,60.33955966,55.26809873,66.43577911,0.995649837
MgSO4-2_000.010_mM.tab,3,65.29528247,59.41205234,72.47173728,0.994937556
MgSO4-2_000.020_mM.tab,1,62.85206581,53.11799523,76.95421194,0.982872863
MgSO4-2_000.020_mM.tab,2,60.91057737,56.46526671,66.11562674,0.996794256
MgSO4-2_000.020_mM.tab,3,64.6719153,58.70481327,71.98933404,0.994667398
MgSO4-2_000.040_mM.tab,1,59.25533041,48.9876258,74.96859146,0.977712221
MgSO4-2_000.040_mM.tab,2,57.5787038,50.60958865,66.77366858,0.990256407
MgSO4-2_000.040_mM.tab,3,64.6719153,58.70481327,71.98933404,0.994667398
MgSO4-2_000.080_mM.tab,1,59.0144051,50.42338567,71.13406139,0.985160671
MgSO4-2_000.080_mM.tab,2,56.95780071,48.06472256,69.88884256,0.982546353
MgSO4-2_000.080_mM.tab,3,61.15972231,55.17639122,68.59855346,0.99393516
NaCl_005_mM.tab,1,55.4880327,49.71149825,62.78355556,0.998543383
NaCl_005_mM.tab,2,62.76617842,53.06086621,76.81663566,0.982936133
NaCl_005_mM.tab,3,56.80037107,48.73823093,68.05839866,0.997052617
NaCl_100_mM.tab,1,54.47824465,48.51644347,62.11051333,0.995547151
NaCl_100_mM.tab,2,68.63049568,62.17891231,76.57588572,0.989326651
NaCl_100_mM.tab,3,55.26931442,49.76948917,62.13567717,0.996395854
NaCl_200_mM.tab,1,58.20392587,51.17124466,67.47766799,0.990294098
NaCl_200_mM.tab,2,76.87060944,67.26273971,89.68067737,0.97996315
NaCl_200_mM.tab,3,66.75029733,60.60335,74.28495885,0.992275593
NaCl_300_mM.tab,1,86.54961168,77.1974121,98.48014018,0.981957835
NaCl_300_mM.tab,2,93.17749596,84.43851601,103.9341837,0.986767891
NaCl_300_mM.tab,3,88.61437506,77.71161954,103.0756427,0.980656627